First Name,Last Name,Email,Mobile,PNR,Group Pax,Flight number,Date,Class,Origin,Destination,United Miles,Transit,Check in Time,Transit Terminal,Transit Delay,Remarks
l,Phillips,A100050@ggg.com,14008900050,Y46E4Y,,1796,24/07/2017,H,SFO,JFK,Premier Silver,N,10:25,,,
r,Campbell,A100051@ggg.com,14008900051,Y46E4Y,,1796,24/07/2017,Q,SFO,JFK,Premier Silver,N,10:25,,,
t,Parker,A100052@ggg.com,14008900052,Y46EAR,,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:25,,,
e,Evans,A100053@ggg.com,14008900053,Y46EAR,,1796,24/07/2017,W,SFO,JFK,Premier Silver,N,10:25,,,
d,Edwards,A100054@ggg.com,14008900054,Y46ROU,,1796,24/07/2017,S,SFO,JFK,Premier Silver,N,10:25,,,
b,Collins,A100055@ggg.com,14008900055,Y46WQ7,,1796,24/07/2017,T,SFO,JFK,,N,10:25,,,
ni,Stewart,A100056@ggg.com,14008900056,Y47DKK,,1796,24/07/2017,L,SFO,JFK,,N,10:25,,,
ml,Sanchez,A100057@ggg.com,14008900057,Y47HDN,,1796,24/07/2017,K,SFO,JFK,Premier Gold,N,10:25,,,
wat,Morris,A100058@ggg.com,14008900058,Y48EML,,1796,24/07/2017,G,SFO,JFK,,N,10:25,,,
som,Rogers,A100059@ggg.com,14008900059,Y48G8J,,1796,24/07/2017,N,SFO,JFK,,N,10:00,,,
som,Reed,A100060@ggg.com,14008900060,Y48I5T,,1796,24/07/2017,Y,SFO,JFK,,N,10:00,,,
sun,Cook,A100061@ggg.com,14008900061,Y4AADN,,1796,24/07/2017,B,SFO,JFK,,N,10:00,,,
moon,Morgan,A100062@ggg.com,14008900062,Y4AEUO,,1796,24/07/2017,M,SFO,JFK,,N,10:00,,,
rio,Bell,A100063@ggg.com,14008900063,Y7LRMB,,1796,24/07/2017,U,SFO,JFK,,N,10:00,,,
lite,Murphy,A100064@ggg.com,14008900064,Y7O6QV,,1796,24/07/2017,E,SFO,JFK,,N,10:00,,,
c,Bailey,A100065@ggg.com,14008900065,Y7P64Q,,1796,24/07/2017,H,SFO,JFK,,N,10:00,,,
d,Rivera,A100066@ggg.com,14008900066,Y7PFX3,,1796,24/07/2017,Q,SFO,JFK,,N,10:00,,,
vcv,Cooper,A100067@ggg.com,14008900067,Y7PG2J,,1796,24/07/2017,V,SFO,JFK,,N,,,,
b,Richardson,A100068@ggg.com,14008900068,Y7PMMM,,1796,24/07/2017,W,SFO,JFK,Premier Gold,N,10:00,,,
c,Cox,A100069@ggg.com,14008900069,Y7T9UI,,1796,24/07/2017,S,SFO,JFK,Premier Gold,N,9:50,,,
f,Howard,A100070@ggg.com,14008900070,Y4AXLT,,1796,24/07/2017,T,SFO,JFK,Premier Gold,N,9:50,,,
o,Ward,A100071@ggg.com,14008900071,Y4B2QN,,1796,24/07/2017,L,SFO,JFK,Premier Gold,N,10:05,,,
p,Torres,A100072@ggg.com,14008900072,Y4B5R3,,1796,24/07/2017,K,SFO,JFK,,N,10:05,,,
pum,Peterson,A100073@ggg.com,14008900073,Y4BGUA,,1796,24/07/2017,G,SFO,JFK,,N,10:05,,,
Downs,Gray,A100074@ggg.com,14008900074,Y4BRG3,,1796,24/07/2017,N,SFO,JFK,,N,10:05,,,
Rasmussen,Ramirez,A100075@ggg.com,14008900075,Y4CM2D,,1796,24/07/2017,Y,SFO,JFK,,N,10:05,,,
Bird,James,A100076@ggg.com,14008900076,Y4CNNU,,1796,24/07/2017,B,SFO,JFK,,N,10:05,,,
Hewitt,Watson,A100077@ggg.com,14008900077,Y4CUUS,,1796,24/07/2017,M,SFO,JFK,,N,10:05,,,
Lindsay,Brooks,A100078@ggg.com,14008900078,Y4D34P,,1796,24/07/2017,U,SFO,JFK,Premier Gold,N,10:05,,,
Le,Kelly,A100079@ggg.com,14008900079,Y4D34P,,1796,24/07/2017,E,SFO,JFK,Premier Gold,N,10:05,,,
Foreman,Sanders,A100080@ggg.com,14008900080,Y4DLWB,,1796,24/07/2017,H,SFO,JFK,Premier Gold,N,9:50,,,
Valencia,Price,A100081@ggg.com,14008900081,Y4DN56,,1796,24/07/2017,Q,SFO,JFK,,N,9:50,,,
O'neil,Bennett,A100082@ggg.com,14008900082,Y4DN7G,,1796,24/07/2017,V,SFO,JFK,,N,9:50,,,
Delacruz,Wood,A100083@ggg.com,14008900083,Y4DTSU,,1796,24/07/2017,W,SFO,JFK,,N,9:50,,,
Vinson,Barnes,A100084@ggg.com,14008900084,Y9PDL4,,1796,24/07/2017,S,SFO,JFK,,N,9:50,,,
Dejesus,Ross,A100085@ggg.com,14008900085,Y9PR5V,,1796,24/07/2017,T,SFO,JFK,,N,9:50,,,
Hyde,Henderson,A100086@ggg.com,14008900086,Y9QLEG,,1796,24/07/2017,L,SFO,JFK,,N,9:50,,,
Forbes,Coleman,A100087@ggg.com,14008900087,Y9QTWC,,1796,24/07/2017,K,SFO,JFK,,N,9:50,,,
Gilliam,Jenkins,A100088@ggg.com,14008900088,Y9RR3G,,1796,24/07/2017,G,SFO,JFK,,N,9:50,,,
Guthrie,Perry,A100089@ggg.com,14008900089,Y9SAEZ,,1796,24/07/2017,N,SFO,JFK,,N,10:24,,,
Wooten,Powell,A100090@ggg.com,14008900090,Y9SG42,,1796,24/07/2017,Y,SFO,JFK,,N,9:50,,,
Huber,Long,A100091@ggg.com,14008900091,Y9SLB4,,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
Barlow,Patterson,A100092@ggg.com,14008900092,Y9SLB4,,1796,24/07/2017,M,SFO,JFK,,N,9:50,,,
Boyle,Hughes,A100093@ggg.com,14008900093,Y9SNUR,,1796,24/07/2017,U,SFO,JFK,Premier Gold,N,9:50,,,
Mcmahon,Flores,A100094@ggg.com,14008900094,Y9SSFC,,1796,24/07/2017,E,SFO,JFK,Premier Gold,N,9:50,,,
Buckner,Washington,A100095@ggg.com,14008900095,Y9V5YY,,1796,24/07/2017,H,SFO,JFK,Premier Gold,N,9:50,,,
Rocha,Butler,A100096@ggg.com,14008900096,Y9XWKU,,1796,24/07/2017,Q,SFO,JFK,,N,9:50,,,
Puckett,Simmons,A100097@ggg.com,14008900097,Y9XZJE,,1796,24/07/2017,V,SFO,JFK,,N,9:50,,,
Langley,Foster,A100098@ggg.com,14008900098,Y9YXZX,,1796,24/07/2017,W,SFO,JFK,,N,9:50,,,
Knowles,Gonzales,A100099@ggg.com,14008900099,Y9YZLH,,1796,24/07/2017,S,SFO,JFK,,N,9:50,,,
Cooke,Bryant,A100100@ggg.com,14008900100,Y9YZLH,,1796,24/07/2017,T,SFO,JFK,,N,9:50,,,
Velazquez,Alexander,A100101@ggg.com,14008900101,YYHX4Y,,1796,24/07/2017,L,SFO,JFK,,N,9:50,,,
Whitley,Russell,A100102@ggg.com,14008900102,YYIH3U,,1796,24/07/2017,K,SFO,JFK,,N,9:50,,,
Noel,Griffin,A100103@ggg.com,14008900103,YYIU4K,,1796,24/07/2017,G,SFO,JFK,,N,9:50,,,
Vang,Diaz,A100104@ggg.com,14008900104,YYIWCM,,1796,24/07/2017,N,SFO,JFK,,N,10:45,,,
aaa,Hayes,A100105@ggg.com,14008900105,YYIXXQ,,1796,24/07/2017,Y,SFO,JFK,,N,9:50,,,
bbb,Myers,A100106@ggg.com,14008900106,YYJAOR,,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
ccc,Ford,A100107@ggg.com,14008900107,YYJFYG,,1796,24/07/2017,M,SFO,JFK,,N,9:50,,,
abc,Graham,A100108@ggg.com,14008900108,YYJJ4E,Y,1796,24/07/2017,U,SFO,JFK,,N,9:50,,,
juk,Graham,A100108@ggg.com,14008900108,YYJJ4E,Y,1796,24/07/2017,E,SFO,JFK,Premier Gold,N,9:50,,,
bhe,Sullivan,A100110@ggg.com,14008900110,YYK7NL,,1796,24/07/2017,H,SFO,JFK,Premier Gold,N,9:50,,,
qws,Wallace,A100111@ggg.com,14008900111,524D3B,,1796,24/07/2017,Q,SFO,JFK,Premier Gold,N,9:50,,,
cvb,Woods,A100112@ggg.com,14008900112,5259MW,,1796,24/07/2017,V,SFO,JFK,,N,9:50,,,
acd,Cole,A100113@ggg.com,14008900113,525F5Q,,1796,24/07/2017,W,SFO,JFK,,N,9:50,,,
rty,West,A100114@ggg.com,14008900114,525J88,,1796,24/07/2017,S,SFO,JFK,,N,9:50,,,
wed,Jordan,A100115@ggg.com,14008900115,525KL8,,1796,24/07/2017,T,SFO,JFK,,N,9:50,,,
qsw,Owens,A100116@ggg.com,14008900116,525KMS,,1796,24/07/2017,L,SFO,JFK,,N,9:50,,,
tgth,Reynolds,A100117@ggg.com,14008900117,5262JX,,1796,24/07/2017,K,SFO,JFK,,N,9:50,,,
efef,Fisher,A100118@ggg.com,14008900118,5276QC,,1796,24/07/2017,G,SFO,JFK,,N,9:50,,,
pol,Ellis,A100119@ggg.com,14008900119,YV4B57,,1796,24/07/2017,N,SFO,JFK,,N,9:30,,,
pal,Harrison,A100120@ggg.com,14008900120,YV4JY3,,1796,24/07/2017,Y,SFO,JFK,,N,9:50,,,
ni,Gibson,A100121@ggg.com,14008900121,YV59FA,Y,1796,24/07/2017,B,SFO,JFK,Premier Gold,N,9:50,,,
jly,Gibson,A100121@ggg.com,14008900121,YV59FA,Y,1796,24/07/2017,M,SFO,JFK,Premier Gold,N,9:50,,,
aly,Cruz,A100123@ggg.com,14008900123,YV5C3O,,1796,24/07/2017,Y,SFO,JFK,Premier Gold,N,9:50,,,
wlg,Marshall,A100124@ggg.com,14008900124,YV5FFF,,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
aa,Ortiz,A100125@ggg.com,14008900125,YV69WT,,1796,24/07/2017,M,SFO,JFK,,N,9:50,,,
bb,Gomez,A100126@ggg.com,14008900126,YV6JWF,,1796,24/07/2017,Y,SFO,JFK,,N,9:50,,,
vcv,Murray,A100127@ggg.com,14008900127,YV6K5V,,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
red,Freeman,A100128@ggg.com,14008900128,YV6OA5,,1796,24/07/2017,M,SFO,JFK,,N,9:50,,,
blue,Wells,A100129@ggg.com,14008900129,YV73Z5,Y,1796,24/07/2017,Y,SFO,JFK,,N,9:50,,,
green,Wells,A100129@ggg.com,14008900129,YV73Z5,Y,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
orange,Simpson,A100131@ggg.com,14008900131,YV85QE,,1796,24/07/2017,M,SFO,JFK,,N,9:50,,,
blue,Stevens,A100132@ggg.com,14008900132,YV86AA,,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
tup,Tucker,A100133@ggg.com,14008900133,YV8A4F,,1796,24/07/2017,M,SFO,JFK,,N,9:50,,,
rio,Porter,A100134@ggg.com,14008900134,YV8OIG,,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
a,Hunter,A100135@ggg.com,14008900135,YYK9OZ,,1796,24/07/2017,M,SFO,JFK,,N,9:50,,,
b,Hicks,A100136@ggg.com,14008900136,YYKBZW,,1796,24/07/2017,B,SFO,JFK,Premier Gold,N,9:50,,,
c,Crawford,A100137@ggg.com,14008900137,YYKE4S,,1796,24/07/2017,M,SFO,JFK,Premier Gold,N,9:50,,,
d,Henry,A100138@ggg.com,14008900138,YYKJQK,Y,1796,24/07/2017,B,SFO,JFK,Premier Gold,N,9:50,,,
efef,Henry,A100138@ggg.com,14008900138,YYKJQK,Y,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
f,Mason,A100140@ggg.com,14008900140,YYKPYL,Y,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
green,Mason,A100140@ggg.com,14008900140,YYKPYL,Y,1796,24/07/2017,B,SFO,JFK,,Y,8:45,3,N,
h,Kennedy,A100142@ggg.com,14008900142,YYKSYE,,1796,24/07/2017,B,SFO,JFK,,N,9:50,,,
j,Warren,A100143@ggg.com,14008900143,YYKXAN,,1796,24/07/2017,T,SFO,JFK,,N,9:50,,,
Haney,Dixon,A100144@ggg.com,14008900144,YYLCBL,,1796,24/07/2017,T,SFO,JFK,,N,9:50,,,
Franks,Ramos,A100145@ggg.com,14008900145,YV8QKE,,1796,24/07/2017,T,SFO,JFK,,N,9:50,,,
Sargent,Reyes,A100146@ggg.com,14008900146,YV92IG,,1796,24/07/2017,N,SFO,JFK,,N,11:35,,,
Nieves,Burns,A100147@ggg.com,14008900147,YV968O,,1796,24/07/2017,N,SFO,JFK,,N,10:15,,,
Downs,Gordon,A100148@ggg.com,14008900148,YV97MD,,1796,24/07/2017,N,SFO,JFK,,N,10:00,,,
Rasmussen,Shaw,A100149@ggg.com,14008900149,YV99OW,Y,1796,24/07/2017,N,SFO,JFK,,N,10:05,,,
Bird,Shaw,A100149@ggg.com,14008900149,YV99OW,Y,1796,24/07/2017,N,SFO,JFK,,N,9:45,,,
Hewitt,Rice,A100151@ggg.com,14008900151,YV9KEI,,1796,24/07/2017,N,SFO,JFK,,N,9:30,,,
Lindsay,Robertson,A100152@ggg.com,14008900152,YV9OWZ,,1796,24/07/2017,N,SFO,JFK,,N,10:05,,,
Le,Hunt,A100153@ggg.com,14008900153,YV9XXN,,1796,24/07/2017,N,SFO,JFK,,N,11:00,,,
Foreman,Black,A100154@ggg.com,14008900154,YV9YS8,,1796,24/07/2017,N,SFO,JFK,,N,11:00,,,
Valencia,Daniels,A100155@ggg.com,14008900155,YVA4VP,,1796,24/07/2017,N,SFO,JFK,,N,9:50,,,
O'neil,Palmer,A100156@ggg.com,14008900156,YVA5RK,,1796,24/07/2017,V,SFO,JFK,,Y,6:45,3,N,
Delacruz,Mills,A100157@ggg.com,14008900157,YVA8FW,,1796,24/07/2017,W,SFO,JFK,,Y,9:45,3,N,
Vinson,Nichols,A100158@ggg.com,14008900158,YVA8PT,,1796,24/07/2017,S,SFO,JFK,Premier Gold,Y,9:00,1,Y,
Dejesus,Grant,A100159@ggg.com,14008900159,YZPGFA,Y,1796,24/07/2017,V,SFO,JFK,Premier Gold,N,9:50,,,
Hyde,Grant,A100159@ggg.com,14008900159,YZPGFA,Y,1796,24/07/2017,W,SFO,JFK,Premier Gold,N,9:50,,,
Forbes,Rose,A100161@ggg.com,14008900161,YZPPWD,Y,1796,24/07/2017,S,SFO,JFK,,N,9:50,,,
Gilliam,Rose,A100161@ggg.com,14008900161,YZPPWD,Y,1796,24/07/2017,V,SFO,JFK,,N,9:50,,,
Guthrie,Stone,A100163@ggg.com,14008900163,YZPRS5,,1796,24/07/2017,W,SFO,JFK,,N,9:50,,,
Wooten,Hawkins,A100164@ggg.com,14008900164,YZR265,,1796,24/07/2017,S,SFO,JFK,,N,9:50,,,
Huber,Dunn,A100165@ggg.com,14008900165,YZRKB5,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
Barlow,Perkins,A100166@ggg.com,14008900166,YZRSQR,,1796,24/07/2017,W,SFO,JFK,,N,10:35,,,
Boyle,Hudson,A100167@ggg.com,14008900167,YZRU2D,,1796,24/07/2017,S,SFO,JFK,Premier Gold,N,10:35,,,
Mcmahon,Spencer,A100168@ggg.com,14008900168,YYLHK4,,1796,24/07/2017,V,SFO,JFK,Premier Gold,N,10:35,,,
Buckner,Gardner,A100169@ggg.com,14008900169,YYLIN7,,1796,24/07/2017,W,SFO,JFK,Premier Gold,N,10:35,,,
Rocha,Stephens,A100170@ggg.com,14008900170,YYL34I,,1796,24/07/2017,S,SFO,JFK,,N,10:35,,,
Puckett,Payne,A100171@ggg.com,14008900171,YYM6WV,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
Langley,Pierce,A100172@ggg.com,14008900172,YYMN9J,,1796,24/07/2017,W,SFO,JFK,,N,10:35,,,
Knowles,Berry,A100173@ggg.com,14008900173,YYMS9B,Y,1796,24/07/2017,S,SFO,JFK,Premier Gold,N,10:35,,,
Cooke,Berry,A100173@ggg.com,14008900173,YYMS9B,Y,1796,24/07/2017,V,SFO,JFK,Premier Gold,N,10:35,,,
Velazquez,Arnold,A100175@ggg.com,14008900175,YYMYY9,,1796,24/07/2017,W,SFO,JFK,Premier Gold,N,10:35,,,
Whitley,Wagner,A100176@ggg.com,14008900176,YYN6RI,,1796,24/07/2017,S,SFO,JFK,,N,10:35,,,
Noel,Willis,A100177@ggg.com,14008900177,YYN99T,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
Vang,Ray,A100178@ggg.com,14008900178,YYNATL,,1796,24/07/2017,W,SFO,JFK,Premier Gold,Y,7:30,3,N,
q,Watkins,A100179@ggg.com,14008900179,YYNLUX,,1796,24/07/2017,S,SFO,JFK,Premier Gold,N,10:35,,,
a,Olson,A100180@ggg.com,14008900180,YYNXBD,,1796,24/07/2017,V,SFO,JFK,Premier Gold,N,10:35,,,
z,Carroll,A100181@ggg.com,14008900181,YYNXNB,,1796,24/07/2017,W,SFO,JFK,,N,10:35,,,
g,Duncan,A100182@ggg.com,14008900182,YYNYTC,,1796,24/07/2017,S,SFO,JFK,,N,10:35,,,
d,Snyder,A100183@ggg.com,14008900183,YYNZNX,,1796,24/07/2017,V,SFO,JFK,Premier Gold,N,10:35,,,
c,Hart,A100184@ggg.com,14008900184,YZRWMF,,1796,24/07/2017,W,SFO,JFK,Premier Gold,N,10:35,,,
h,Cunningham,A100185@ggg.com,14008900185,YZS8BI,,1796,24/07/2017,S,SFO,JFK,Premier Gold,N,10:35,,,
n,Bradley,A100186@ggg.com,14008900186,YZSSMK,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
u,Lane,A100187@ggg.com,14008900187,YZSTPE,,1796,24/07/2017,W,SFO,JFK,Premier Gold,N,10:35,,,
k,Andrews,A100188@ggg.com,14008900188,YZTBP8,,1796,24/07/2017,V,SFO,JFK,Premier Gold,N,10:35,,,
o,Ruiz,A100189@ggg.com,14008900189,YZTV34,,1796,24/07/2017,W,SFO,JFK,Premier Gold,Y,8:00,3,N,
e,Harper,A100190@ggg.com,14008900190,YZU249,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
t,Fox,A100191@ggg.com,14008900191,YZU353,,1796,24/07/2017,W,SFO,JFK,,N,10:35,,,
Velazquez,Riley,A100192@ggg.com,14008900192,YZUUZD,Y,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
Whitley,Riley,A100192@ggg.com,14008900192,YZUUZD,Y,1796,24/07/2017,W,SFO,JFK,,N,10:35,,,
Noel,Carpenter,A100194@ggg.com,14008900194,YZUZDV,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
Vang,Weaver,A100195@ggg.com,14008900195,YZVYFX,,1796,24/07/2017,W,SFO,JFK,,N,10:35,,,
q,Greene,A100196@ggg.com,14008900196,YZX6AZ,,1796,24/07/2017,V,SFO,JFK,,Y,7:45,2,Y,
a,Lawrence,A100197@ggg.com,14008900197,YZXYF3,,1796,24/07/2017,W,SFO,JFK,,N,10:35,,,
z,Elliott,A100198@ggg.com,14008900198,YZXZJH,,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:35,,,
g,Chavez,A100199@ggg.com,14008900199,YZ52XJ,,1796,24/07/2017,W,SFO,JFK,Premier Silver,N,10:35,,,
d,Sims,A100200@ggg.com,14008900200,YZYXNF,y,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:35,,,
c,Sims,A100200@ggg.com,14008900200,YZYXNF,Y,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
h,Peters,A100202@ggg.com,14008900202,YZYYVW,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
n,Kelley,A100203@ggg.com,14008900203,YZZ2VH,y,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
u,Kelley,A100203@ggg.com,14008900203,YZZ2VH,Y,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
Velazquez,Fields,A100205@ggg.com,14008900205,34AJQB,Y,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:35,,,
Whitley,Fields,A100205@ggg.com,14008900205,34AJQB,Y,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:35,,,
Noel,Gutierrez,A100207@ggg.com,14008900207,34EN3D,,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:35,,,
Vang,Ryan,A100208@ggg.com,14008900208,34FUW2,,1796,24/07/2017,V,SFO,JFK,Premier Silver,Y,6:35,3,N,
y,Schmidt,A101208@ggg.com,14008900209,34GCWW,,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:35,,,
h,Carr,A100209@ggg.com,14008900210,34HHFF,,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:35,,,
f,Vasquez,A110208@ggg.com,14008900211,34K4ID,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
g,Castillo,A100218@ggg.com,14008900212,34K9O2,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
e,Wheeler,A100228@ggg.com,14008900213,YVVN39,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
Mcmahon,Chapman,A111228@ggg.com,14008900214,YVVOBT,,1796,24/07/2017,V,SFO,JFK,,N,10:35,,,
